name,no_of_settled_bet,market_dict,league_dict,most_frequent_market,market_amount,market %,most_frequent_league,league_amount,league %
101kga,124,"{'Match Odds': 44, 'Asian Handicap': 20, 'Asian Over/Under': 34, 'Match Odds - Half Time': 14, 'Asian Handicap - Half Time': 6, 'Asian Over/Under - Half Time': 6}","{'TFF 1. Lig': 2, 'First Division A': 7, 'Serie A': 9, 'Bundesliga': 4, 'England Championship': 3, 'League One': 3, 'Serie C Girone C': 2, 'Serie B': 4, 'Ligat Ha Al': 5, 'Ligue 2': 11, 'Super Lig': 2, 'Axpo Super League': 6, 'Primera Division': 6, 'England Premier League': 3, 'Segunda Division': 5, '3.Liga': 2, 'Greece Super League': 11, 'Eredivisie': 4, 'League Two': 2, 'Conference National': 6, 'AFC Nations Cup': 2, 'Peru Liga 1': 1, 'Ligue 1': 3, 'Africa Cup of Nations': 2, 'Mineiro': 1, 'Brasiliense': 2, 'Serie C Girone B': 5, 'Serie C Girone A': 5, 'OFB Stiegl Cup': 3, 'Colombia Primera B': 1, 'Carioca': 2}",Match Odds,44.0,35.48,Ligue 2,11.0,8.87
123321a,177,"{'Asian Over/Under - Corners - Half Time': 4, 'Asian Over/Under': 58, 'Asian Over/Under - Half Time': 9, 'Asian Handicap': 58, 'Asian Handicap - Half Time': 9, 'Asian Handicap - Corners': 10, 'Match Odds - Half Time': 11, 'Match Odds': 11, 'Asian Over/Under - Corners': 4, 'Asian Handicap - Corners - Half Time': 3}","{'UEFA Europa Conference League': 1, 'Copa Libertadores': 6, 'Copa Sudamericana': 6, 'Egypt Premier League': 2, 'Ligue 2': 5, 'Eerste Divisie': 2, 'Ligue 1': 6, 'Premier League': 1, 'Bundesliga': 5, 'Saudi Professional League': 2, 'Serie B': 1, 'La Liga Profesional': 3, 'Serie A': 5, 'Meistriliiga': 2, 'Primera Division': 8, 'Chile Primera Division': 4, 'Viasat Sport Divisionen (1st Division)': 2, 'England Premier League': 6, 'tipp3-Bundesliga': 2, 'Bulgaria Premier League': 4, 'Greece Super League': 3, 'First Division A': 7, 'Axpo Super League': 3, 'Brasilero Serie A': 3, 'Segunda Division': 4, 'Brasilero Serie D': 6, 'Mexico Primera Division': 1, 'Major League Soccer': 8, 'J.League 2': 2, 'Spain Rfef Primera - Group 2': 1, 'Thai League': 2, '2. Bundesliga': 5, 'Russia Premier League': 2, 'Eredivisie': 9, 'Serbia Super Liga': 3, 'Gambrinus Liga': 2, 'Liga I': 1, 'Campeonato Uruguayo': 1, 'Danish Superliga': 3, 'Primeira Liga': 2, 'Super Lig': 2, 'Bolivian Primera Division': 4, 'UAE Arabian Gulf League': 1, 'Copa de Primera': 1, 'Eredivisie, Relegation/Promotion': 1, 'Scotland Premier League': 1, 'J.League': 3, 'Cup Men': 1, 'Eliteserien': 3, 'Liga de Honra': 1, 'Superettan': 2, 'England Championship': 1, 'Ekstraklasa': 2, 'Kazakhstan Premier League': 1, '3.Liga': 1, 'Colombia Primera A': 1, 'Ligat Ha Al': 1, 'Lega Pro Prima Divisione Playoff': 1, 'Brasilero Serie C': 2, 'Ecuador Primera A': 1, 'League Two': 1, 'Ykkosliiga': 1, 'Challenge League': 1, 'ADEG Erste Liga': 1, 'Chinese Super League': 1}",Asian Over/Under,58.0,32.77,Eredivisie,9.0,5.08
123gt,25,"{'Asian Handicap - Half Time': 2, 'Asian Handicap': 10, 'Asian Over/Under': 8, 'Asian Handicap - Corners': 1, 'Match Odds': 4}","{'Copa Sudamericana': 1, 'UEFA Champions League': 1, 'UEFA Europa Conference League': 2, 'Bulgaria Premier League': 1, 'Super Lig': 1, 'J.League': 1, 'Primera Division': 1, 'Colombia Primera A': 3, 'Liga I': 1, 'First Division A': 1, '3.Liga': 1, 'Adeccoligaen': 2, 'Meistriliiga': 1, 'AFC Champions League': 1, 'Russian Cup': 1, 'Belgium Challenger Pro League': 1, 'Saudi Professional League': 1, 'Ekstraklasa': 1, 'J.League 2': 1, 'England Premier League': 1, 'Hyundai A-League': 1}",Asian Handicap,10.0,40.0,Colombia Primera A,3.0,12.0
198Bet10,41,"{'Asian Over/Under': 6, 'Asian Handicap': 35}","{'England Premier League': 3, 'Serie B': 1, 'Greece Super League': 2, 'Brasilero Serie A': 1, 'Allsvenskan': 3, 'Bundesliga': 2, 'Super Lig': 1, 'Liga MX': 1, 'Chile Primera Division': 1, 'Primeira Liga': 2, 'UEFA Champions League': 5, 'Copa do Brasil': 1, 'UEFA Europa League': 2, 'Scotland Premier League': 1, 'Segunda Division': 1, 'J.League': 2, 'Primera Division': 2, 'Serie A': 3, '2. Bundesliga': 2, 'Danish Superliga': 1, 'Eliteserien': 3, 'Eredivisie': 1}",Asian Handicap,35.0,85.37,UEFA Champions League,5.0,12.2
198Bet11,39,"{'Asian Handicap': 33, 'Asian Over/Under': 6}","{'Super Lig': 5, 'Primera Division': 4, 'Segunda Division': 2, 'Bundesliga': 7, 'Danish Superliga': 3, 'England Premier League': 8, 'First Division A': 2, 'Eliteserien': 1, 'Ligue 1': 2, 'Serie A': 2, 'Allsvenskan': 1, 'Ligue 2': 1, 'UEFA Champions League': 1}",Asian Handicap,33.0,84.62,England Premier League,8.0,20.51
198Bet12,22,"{'Asian Over/Under': 10, 'Asian Handicap': 12}","{'Major League Soccer': 4, 'Brasilero Serie B': 3, 'Brasilero Serie A': 5, 'Liga MX': 4, 'Chile Primera Division': 4, 'Colombia Primera A': 2}",Asian Handicap,12.0,54.55,Brasilero Serie A,5.0,22.73
198Bet9,112,"{'Asian Handicap': 90, 'Asian Over/Under': 22}","{'Segunda Division': 2, 'Brasilero Serie A': 3, 'Copa do Brasil': 2, 'Brasilero Serie B': 5, 'Liga MX': 5, 'La Liga Profesional': 1, 'Chile Primera Division': 4, 'Danish Superliga': 3, 'Eerste Divisie': 3, 'Primeira Liga': 4, 'Copa Libertadores': 3, 'England Premier League': 10, 'Primera Division': 5, 'Colombia Primera A': 3, 'Major League Soccer': 5, 'Allsvenskan': 4, 'Bundesliga': 8, 'J.League': 2, 'K-League Classic (First League)': 1, '2. Bundesliga': 7, 'Superettan': 2, 'Ligue 2': 1, 'Copa Sudamericana': 1, 'UEFA Europa League': 1, 'tipp3-Bundesliga': 2, 'Eliteserien': 1, 'England Championship': 4, 'Russia Premier League': 2, 'First Division A': 4, 'Super Lig': 3, 'Serie B': 1, 'Serie A': 5, 'Eredivisie': 1, 'Greece Super League': 1, 'UEFA Champions League': 1, 'Ligue 1': 2}",Asian Handicap,90.0,80.36,England Premier League,10.0,8.93
198PRD0001,256,"{'Asian Handicap': 144, 'Asian Over/Under': 91, 'Match Odds': 1, 'Asian Handicap - Half Time': 18, 'Match 1X2': 2}","{'Peru Liga 1': 6, 'Chinese FA Cup': 1, 'Copa Libertadores': 1, 'Primera Division': 11, 'UEFA Europa Conference League, Qualification': 3, 'Egypt Cup': 3, 'Brasilero Serie B': 4, 'Bolivian Primera Division': 10, 'Copa Argentina': 2, 'Qatar Stars League': 3, 'UEFA Europa League, Qualification': 1, 'England Premier League': 13, 'Ligue 1': 5, 'UAE Arabian Gulf League': 1, 'ADEG Erste Liga': 6, 'Bundesliga': 6, 'England Championship': 13, 'Eliteserien': 5, 'Veikkausliiga': 1, 'Liga I': 2, 'OFB Stiegl Cup': 2, 'Chile Primera Division': 1, 'Serie A': 6, 'La Liga Profesional': 6, 'Paraguay Primera Division': 1, 'World Cup Qualification, AFC': 7, 'UEFA Nations League': 2, 'J.League 2': 1, 'Africa Cup of Nations, Qualification': 3, 'CONCACAF Nations League': 1, 'K-League Classic (First League)': 3, 'Superettan': 6, 'Indian Super League': 8, 'First Division A': 3, 'Eerste Divisie': 3, 'Adeccoligaen': 2, 'Eredivisie': 2, 'AFC Champions League Elite': 5, 'Emperor Cup': 1, 'Gambrinus Liga': 4, 'UEFA Champions League': 11, 'J.League': 2, 'AFC Champions League Two': 5, 'UEFA Champions League, Women Qualification': 1, 'Serie B': 1, 'Ekstraklasa': 2, '3.Liga': 4, 'Meistriliiga': 3, 'Kazakhstan Premier League': 4, 'Ligat Ha Al': 4, 'Fortuna Liga': 1, 'Serie C Girone A': 1, ""Women's Super League"": 1, 'Argentina Primera B Nacional': 1, 'Bulgaria Premier League': 1, 'Ligue 2': 3, ""King's Cup"": 3, 'Serie C Girone B': 3, 'Primeira Liga': 3, 'Venezuela Primera Division': 1, 'Ecuador Primera A': 2, 'K-League (Second League)': 1, 'J.League 3': 1, 'Azerbaijan Premier League': 1, 'Serie C Girone C': 3, 'League One': 3, 'UEFA Europa Conference League': 1, 'Colombia Primera A': 1, '2. Bundesliga': 1, 'Club Friendly Games': 3, 'Spain Rfef Primera - Group 1': 1, 'U21 European Championship, Qualification': 1, 'Indonesia Liga 1': 1, 'Russian Cup': 2, 'tipp3-Bundesliga': 1, 'UEFA Womens Euro, Qualification': 3, 'Saudi Professional League': 1, 'Segunda Division': 1, 'Liga de Expansion': 1, 'Cyprus 1st Division': 1, 'Uruguay Cup': 1, 'Romania Cup': 1, 'DFB Pokal': 1, 'Taça da Liga': 2, 'Estonia Cup': 1, 'KNVB Beker': 1}",Asian Handicap,144.0,56.25,England Premier League,13.0,5.08
198PRD0002,247,"{'Asian Handicap': 133, 'Asian Handicap - Half Time': 19, 'Asian Over/Under': 89, 'Match Odds': 3, 'Match Odds - Half Time': 1, 'Match 1X2': 2}","{'Leagues Cup': 1, 'Chinese FA Cup': 1, 'Copa Libertadores': 2, 'England Premier League': 12, 'Ukraine Cup': 1, 'Primera Division': 9, 'Egypt Cup': 1, 'UEFA Champions League, Qualification': 1, 'Copa Argentina': 4, 'Bolivian Primera Division': 10, 'Saudi Professional League': 2, 'Chile Primera Division': 1, 'England Championship': 10, 'Ligue 1': 4, 'Qatar Stars League': 3, 'Russia Premier League': 2, 'Ligat Ha Al': 2, 'Gambrinus Liga': 3, 'Eliteserien': 4, 'Bulgaria Premier League': 3, 'Brasilero Serie B': 3, 'UAE Arabian Gulf League': 1, 'Bundesliga': 11, 'Serie A': 5, 'Meistriliiga': 5, 'ADEG Erste Liga': 10, 'Argentina Primera B Nacional': 1, 'Liga I': 5, 'UEFA Champions League (Women)': 7, 'Club Friendly Games': 7, 'World Cup Qualification, AFC': 8, 'UEFA Nations League': 2, 'First Division A': 5, 'CONCACAF Nations League': 2, 'Africa Cup of Nations, Qualification': 3, 'International Friendly Games': 6, 'Indian Super League': 13, 'Eerste Divisie': 1, 'AFC Champions League Elite': 4, 'EFL Cup': 1, 'Eredivisie': 1, 'Allsvenskan': 1, 'UEFA Champions League': 6, 'Kazakhstan Premier League': 1, 'AFC Champions League Two': 3, 'tipp3-Bundesliga': 1, 'Greece Super League': 1, 'Ecuador Primera A': 4, '2. Bundesliga': 3, '3.Liga': 5, 'Ligue 2': 2, 'Challenge League': 1, ""King's Cup"": 1, 'Superettan': 1, 'Serie C Girone B': 2, 'OFB Stiegl Cup': 1, 'Adeccoligaen': 2, 'Poland Cup': 2, 'Greece Cup': 1, 'UEFA Europa League': 3, 'Primera Division Femenina': 2, 'La Liga Profesional': 1, 'Ekstraklasa': 1, 'Viasat Sport Divisionen (1st Division)': 1, 'Brasilero Serie A': 1, 'Peru Liga 1': 2, 'League Two': 1, 'Paraguay Cup': 1, ""Women's WSL Cup"": 1, 'Nabisco Cup': 1, 'League One': 2, 'World Cup Qualification, OFC': 1, 'Segunda Division': 2, 'Ukraine Premier League': 1, 'Danish Superliga': 2, 'Venezuela Primera Division': 1, 'UEFA Womens Euro, Qualification': 3, 'Primeira Liga': 1, 'International Friendly Games (Women)': 1, 'J.League': 1, 'Taça da Liga': 1, 'Estonia Cup': 1}",Asian Handicap,133.0,53.85,Indian Super League,13.0,5.26
198PRD8001,458,"{'Match Odds - Half Time': 2, 'Asian Handicap': 206, 'Asian Over/Under - Half Time': 49, 'Asian Over/Under': 177, 'Asian Handicap - Half Time': 12, 'Match Odds': 2, 'Match 1X2': 7, 'Match 1X2 - Half Time': 3}","{'Brasileiro Feminino': 2, 'Chinese FA Cup': 1, 'UEFA Europa Conference League, Qualification': 1, 'Premier League 2 (Division 1)': 3, 'UEFA Europa League, Qualification': 1, 'Brasilero Serie B': 2, 'Peru Liga 1': 8, 'ADEG Erste Liga': 5, 'Super Lig': 14, 'England Premier League': 24, 'Bundesliga': 10, 'Chile Primera Division': 2, 'Serie A': 16, 'Ligue 2': 1, 'OFB Stiegl Cup': 2, 'Primera Division': 11, 'Bundesliga (Women)': 1, 'Eerste Divisie': 4, 'First Division A': 4, 'Challenge League': 6, 'Ligue 1': 7, 'Liga de Honra': 2, 'Colombia Primera A': 2, 'Axpo Super League': 4, 'Croatia 1. HNL': 1, 'International Friendly Games': 2, 'DBU Pokalen': 3, 'UEFA Champions League (Women)': 12, 'Africa Cup of Nations, Qualification': 5, 'U21 European Championship, Qualification': 6, 'World Cup Qualification, AFC': 3, 'UEFA Nations League': 18, 'Primera Division Femenina': 2, 'Football League Trophy': 7, 'CONCACAF Nations League': 6, 'Indonesia Liga 1': 1, 'Eredivisie': 7, 'J.League 2': 2, 'Viasat Sport Divisionen (1st Division)': 1, 'Liga MX': 7, 'K-League (Second League)': 2, 'AFC Champions League Elite': 5, 'UEFA Champions League': 8, 'Ireland First Division': 1, 'Meistriliiga': 3, 'UEFA Champions League, Women Qualification': 3, 'AFC Champions League Two': 5, 'Pro League': 4, 'Thai League': 4, 'Bolivian Primera Division': 3, '2. Bundesliga': 5, 'Allsvenskan': 6, 'Ecuador Primera A': 2, 'Liga de Expansion': 1, 'Ekstraklasa': 3, '3.Liga': 4, 'Bulgaria Premier League': 10, 'Segunda Division': 5, 'Conference National': 1, 'Major League Soccer': 19, 'Greece Super League': 1, 'Liga I': 1, 'Serie C Girone B': 3, 'V-League': 1, ""King's Cup"": 3, 'Poland Cup': 13, 'EFL Cup': 3, 'Greece Cup': 4, 'UEFA Europa League': 13, 'Qatar Stars League': 7, 'UAE Arabian Gulf League': 2, 'Serie C Girone A': 3, 'La Liga Profesional': 3, ""Women's Super League"": 2, 'Chinese Super League': 3, 'Danish Superliga': 2, 'Urvalsdeild': 2, 'League One': 2, 'UEFA Europa Conference League': 2, 'Saudi Professional League': 7, 'Ykkosliiga': 1, ""Women's WSL Cup"": 1, 'Ukraine Premier League': 2, 'England Championship': 5, 'Qatar Stars Cup': 5, 'Russia Premier League': 1, 'Colombia Cup': 1, 'Club Friendly Games': 13, 'World Cup Qualification, CONMEBOL': 2, 'Chile Cup': 2, 'U21 Friendly Games': 1, 'Campeonato Uruguayo': 2, 'Presidents Cup': 6, 'J.League': 1, 'Gambrinus Liga': 1, 'Kazakhstan Premier League': 1, 'Serbia Super Liga': 2, 'Indian Super League': 1, 'League Two': 1, 'Copa Libertadores': 1, 'International Friendly Games (Women)': 3, 'Azerbaijan Premier League': 1, 'Paraguay Primera Division': 1, 'Brasilero Serie A': 1, 'Argentina Primera B Nacional': 2, 'Primeira Liga': 1, 'DFB Pokal': 2, 'Copa del Rey': 5, 'Croatia Cup': 1, 'Estonia Cup': 2, 'Hungary Magyar Kupa': 2}",Asian Handicap,206.0,44.98,England Premier League,24.0,5.24
